,amfi_code,scheme_name,fund_house,category,cagr_3yr,sharpe_ratio,sharpe_rank,sortino_ratio,alpha,beta,alpha_rank,max_drawdown,dd_rank,expense_ratio_pct,return_rank,expense_rank,score
1,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,32.56,1.4483,1.0,2.3856,26.9838,0.0237,7.0,-11.27,8.0,1.46,2.0,23.0,85.79
2,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,30.44,1.1801,5.0,2.0294,29.2636,0.0005,3.0,-18.19,25.0,1.36,5.0,15.0,81.72
3,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,28.35,1.3067,2.0,2.3643,27.3305,-0.0228,5.0,-12.97,13.0,1.45,7.0,22.0,81.43
4,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,31.07,1.0937,7.0,1.8291,27.1954,0.0051,6.0,-16.22,20.0,1.38,4.0,17.0,80.18
5,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,31.12,1.0265,10.0,1.8053,21.1948,0.0162,13.0,-12.59,12.0,0.8,3.0,12.0,79.43
6,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,33.62,0.9982,11.0,1.7038,26.0767,-0.0663,9.0,-20.96,28.0,1.38,1.0,17.0,76.33
7,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,29.18,1.2083,4.0,2.1403,23.201,-0.0318,10.0,-15.01,17.0,1.54,6.0,30.5,74.02
8,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,27.96,1.2349,3.0,2.1469,28.2704,0.0181,4.0,-16.4,21.0,1.6,8.0,36.5,72.84
9,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,27.76,1.0272,9.0,1.7996,21.3998,0.0211,12.0,-11.29,9.0,1.6,9.0,36.5,67.19
10,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,25.57,0.9453,14.0,1.6753,30.337,-0.0232,1.0,-28.71,36.0,1.43,12.0,21.0,66.44
11,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,25.76,1.1321,6.0,1.8751,26.5986,-0.0025,8.0,-17.25,22.0,1.61,11.0,38.0,65.71
12,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,25.88,0.9498,13.0,1.6198,30.0579,0.0115,2.0,-31.17,37.0,1.52,10.0,26.5,65.71
13,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,21.73,1.0817,8.0,1.8501,21.8294,-0.0084,11.0,-17.41,23.0,1.51,14.0,24.5,65.59
14,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,15.62,0.9533,12.0,1.6098,19.8686,-0.0262,15.0,-11.8,11.0,0.66,23.0,4.0,65.11
15,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,17.7,0.7758,18.0,1.3307,17.7298,0.0488,16.0,-15.2,18.0,0.92,19.0,14.0,58.14
16,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,19.2,0.6649,19.0,1.138,15.1364,-0.0014,23.0,-11.65,10.0,0.89,17.0,13.0,57.89
17,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,20.24,0.6452,21.0,1.1545,15.6438,-0.0366,22.0,-18.63,26.0,0.72,15.0,5.5,57.48
18,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,18.88,0.8171,16.0,1.4357,17.0488,-0.0195,19.0,-10.86,7.0,1.57,18.0,34.0,53.68
19,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,13.43,0.798,17.0,1.3379,17.7033,-0.0403,17.0,-13.9,14.0,1.42,25.0,20.0,52.34
20,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,14.17,0.9263,15.0,1.6327,20.873,-0.0264,14.0,-15.27,19.0,1.52,24.0,26.5,52.12
21,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,17.68,0.6489,20.0,1.0959,16.2539,0.0419,20.0,-19.83,27.0,1.41,20.0,19.0,49.78
22,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,7.11,0.4957,23.0,1.0521,6.7462,-0.0004,31.0,-0.1,1.0,0.74,29.0,7.0,46.64
23,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,19.98,0.1296,29.0,0.2211,8.2328,0.0259,28.0,-21.75,31.0,0.75,16.0,8.0,46.25
24,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,24.5,0.6195,22.0,1.0888,16.2113,0.0167,21.0,-21.54,30.0,1.64,13.0,39.5,44.62
25,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,17.32,0.464,25.0,0.7621,13.1732,-0.0041,24.0,-14.84,16.0,1.54,21.0,30.5,42.1
26,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,10.81,0.3006,27.0,0.5088,11.9891,0.0091,26.0,-21.12,29.0,0.78,26.0,10.0,40.6
27,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,6.44,-0.0887,34.0,-0.1877,6.4557,-0.0004,32.0,-0.12,2.0,0.6,30.0,3.0,39.61
28,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,16.58,0.4943,24.0,0.8626,13.0429,0.0364,25.0,-17.57,24.0,1.59,22.0,35.0,37.65
29,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,7.7,0.4484,26.0,0.746,17.5007,0.1035,18.0,-23.34,32.0,1.53,27.0,28.5,36.59
30,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,3.91,-0.3566,38.0,-0.6135,5.0748,0.0013,35.0,-8.32,6.0,0.55,33.0,1.0,32.95
31,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,5.62,-0.2266,37.0,-0.3768,5.6209,-0.0064,34.0,-4.33,5.0,0.77,32.0,9.0,32.01
32,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,6.08,-0.8156,40.0,-1.681,6.0861,0.0003,33.0,-0.16,3.0,0.79,31.0,11.0,31.1
