amfi_code,var_95,var_99,cvar_95,cvar_99,daily_return_mean,daily_return_std,scheme_name,category
101207,-2.6021,-3.7071,-3.2459,-4.2086,0.0424,1.6251,ABSL Small Cap Fund - Regular - Growth,Equity
149324,-2.3483,-3.679,-3.1036,-4.0836,0.1194,1.5648,DSP Small Cap Fund - Regular - Growth,Equity
119599,-2.6859,-3.6078,-3.2384,-3.9993,0.0201,1.5717,SBI Small Cap Fund - Direct Plan - Growth,Equity
118634,-2.5438,-3.5476,-3.2304,-4.2408,0.0707,1.5901,Nippon India Small Cap Fund - Regular - Growth,Equity
119095,-2.6188,-3.4203,-3.1667,-3.9845,0.0182,1.579,Axis Small Cap Fund - Regular - Growth,Equity
119598,-2.4507,-3.3403,-3.0595,-3.8839,0.1201,1.5837,SBI Small Cap Fund - Regular Plan - Growth,Equity
120505,-1.8892,-2.7518,-2.4342,-3.185,0.1161,1.2152,ICICI Pru Midcap Fund - Regular - Growth,Equity
119094,-1.848,-2.7514,-2.426,-3.2009,0.1027,1.2225,Axis Midcap Fund - Regular - Growth,Equity
149323,-1.7882,-2.6259,-2.2607,-2.8325,0.1055,1.1179,DSP Midcap Fund - Regular - Growth,Equity
120842,-1.8219,-2.5667,-2.2725,-2.975,0.0312,1.1273,Kotak Emerging Equity Fund - Regular - Growth,Equity
102886,-1.922,-2.5472,-2.3251,-2.903,0.011,1.1424,UTI Mid Cap Fund - Regular - Growth,Equity
100033,-1.9034,-2.5443,-2.3456,-3.0326,0.108,1.1929,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity
125498,-1.8365,-2.5098,-2.3094,-3.0434,0.0477,1.1561,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity
148569,-1.7118,-2.4551,-2.1328,-2.7427,0.1124,1.1134,Mirae Asset Tax Saver Fund - Regular - Growth,Equity
102887,-1.5232,-2.2572,-1.9411,-2.4905,0.0645,0.9927,UTI Flexi Cap Fund - Regular - Growth,Equity
120506,-1.4388,-2.2091,-1.9405,-2.5915,0.065,0.9594,ICICI Pru Value Discovery Fund - Regular - Growth,Equity
148568,-1.4712,-2.1351,-1.8765,-2.289,0.0825,0.9719,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity
119552,-1.3501,-2.0713,-1.7336,-2.2908,0.0785,0.8781,SBI Bluechip Fund - Direct Plan - Growth,Equity
100016,-1.4364,-2.0392,-1.806,-2.2138,0.0142,0.9164,HDFC Top 100 Fund - Regular Plan - Growth,Equity
119092,-1.375,-2.0292,-1.7328,-2.1422,0.0275,0.8788,Axis Bluechip Fund - Regular - Growth,Equity
120843,-1.4508,-2.0148,-1.8381,-2.4241,0.1082,1.0008,Kotak Flexicap Fund - Regular - Growth,Equity
148567,-1.356,-2.0138,-1.7623,-2.3998,0.1074,0.8941,Mirae Asset Large Cap Fund - Regular - Growth,Equity
120503,-1.355,-1.9885,-1.7451,-2.2721,0.0698,0.8746,ICICI Pru Bluechip Fund - Regular - Growth,Equity
125497,-1.4592,-1.9818,-1.831,-2.4924,0.071,0.9241,HDFC Top 100 Fund - Direct Plan - Growth,Equity
101206,-1.3282,-1.9648,-1.7439,-2.4748,0.0852,0.9177,ABSL Frontline Equity Fund - Regular - Growth,Equity
149322,-1.4474,-1.9471,-1.8402,-2.4688,0.0522,0.9042,DSP Top 100 Equity Fund - Regular - Growth,Equity
120504,-1.3728,-1.9416,-1.7494,-2.2149,0.0843,0.9048,ICICI Pru Bluechip Fund - Direct - Growth,Equity
118632,-1.3954,-1.9392,-1.7619,-2.2569,0.0865,0.8913,Nippon India Large Cap Fund - Regular - Growth,Equity
119093,-1.4226,-1.9294,-1.7487,-2.2527,0.033,0.8809,Axis Bluechip Fund - Direct - Growth,Equity
118633,-1.3443,-1.9226,-1.663,-2.1553,0.0616,0.8817,Nippon India Large Cap Fund - Direct - Growth,Equity
118635,-1.2554,-1.8942,-1.6177,-2.1492,0.06,0.8179,Nippon India ETF Nifty 50 BeES,Equity
120841,-1.3142,-1.864,-1.6363,-2.0092,0.0522,0.8481,Kotak Bluechip Fund - Regular - Growth,Equity
119551,-1.2846,-1.7875,-1.6397,-2.179,0.0917,0.8656,SBI Bluechip Fund - Regular Plan - Growth,Equity
102885,-1.2613,-1.7732,-1.549,-1.9205,0.0674,0.8086,UTI Nifty 50 Index Fund - Regular - Growth,Equity
100025,-0.3793,-0.5832,-0.4994,-0.6963,0.017,0.246,HDFC Short Term Debt Fund - Regular - Growth,Debt
118636,-0.3804,-0.5504,-0.4919,-0.6518,0.0202,0.2511,Nippon India Gilt Securities Fund - Regular - Growth,Debt
119120,-0.3938,-0.546,-0.5014,-0.6604,0.0222,0.2499,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt
101208,-0.0269,-0.0527,-0.0422,-0.062,0.0242,0.0319,ABSL Liquid Fund - Regular - Growth,Debt
120507,-0.0222,-0.0508,-0.0373,-0.057,0.0268,0.0311,ICICI Pru Liquid Fund - Regular - Growth,Debt
120844,-0.0285,-0.0506,-0.0411,-0.0591,0.0256,0.0323,Kotak Liquid Fund - Regular - Growth,Debt
